,SNDK,MU,LITE,WDC,MRNA,STX,CIEN,INTC,DELL,TER,MRVL,COHR,LRCX,AMAT,ECHO,AMD,FIX,VLO,HPE,WBD,GLW,CNC,FLEX,KLAC,MPC,VRT,APA,PANW,FTNT,CAT,KEYS,PSX,NEM,JBHT,TRGP,CRWD,CRL,DDOG,FCX,LLY,ALB,MRK,NTAP,STLD,FDX,PWR,GOOGL,TGT,CASY,GOOG
2018-05-01,,56.15814971923828,58.75,57.95185470581055,,41.34871292114258,23.049999237060547,46.9238166809082,20.56344985961914,36.48694610595703,20.52918815612793,43.95000076293945,17.696638107299805,46.47523880004883,38.11993408203125,13.729999542236328,44.723045349121094,88.18379211425781,11.833818435668945,21.09000015258789,22.027841567993164,58.58000183105469,10.467219352722168,10.098876953125,61.57454299926758,,32.13401794433594,34.68166732788086,12.236000061035156,127.99943542480469,58.7400016784668,84.67119598388672,30.858308792114258,118.84112548828125,36.623870849609375,,107.5199966430664,,15.263185501098633,76.18934631347656,83.56229400634766,44.11027526855469,55.12125015258789,41.820621490478516,174.00509643554688,35.30958938598633,54.51659393310547,57.71354293823242,91.7067642211914,53.77538299560547
2018-06-01,,51.13619613647461,57.900001525878906,54.0684814453125,,41.884151458740234,26.510000228881836,42.25693130493164,21.562820434570312,36.64094161987305,20.433881759643555,43.45000076293945,15.518210411071777,42.27434158325195,35.980552673339844,14.989999771118164,43.720703125,80.6386947631836,11.425216674804688,27.5,22.303497314453125,61.60499954223633,10.633007049560547,9.144556999206543,54.66368103027344,,37.55664825439453,34.244998931884766,12.486000061035156,114.3155746459961,59.029998779296875,81.6329345703125,30.000213623046875,112.76459503173828,37.27153396606445,,112.26000213623047,,15.588319778442383,76.44914245605469,84.6321792602539,45.3248176574707,63.35877990722656,39.03679656982422,159.01564025878906,32.75037384033203,55.963260650634766,60.271060943603516,99.55108642578125,55.29498291015625
2018-07-01,,51.477500915527344,52.25,48.99760055541992,,39.02858352661133,25.399999618530273,40.888328552246094,23.587038040161133,41.62649154663086,20.367244720458984,39.20000076293945,17.115367889404297,44.50751495361328,36.45867156982422,18.329999923706055,53.028072357177734,86.11016845703125,12.074286460876465,26.579999923706055,26.900392532348633,65.16500091552734,10.519969940185547,10.472576141357422,62.976993560791016,,37.16267776489258,33.043331146240234,12.581999778747559,121.90885162353516,58.0,89.65013885498047,29.180795669555664,111.23384094238281,39.144386291503906,,124.30000305175781,,14.944849967956543,88.52616882324219,84.51554870605469,49.185264587402344,62.86924743652344,40.00527572631836,172.188720703125,33.40733337402344,60.821678161621094,63.88161087036133,103.89881896972656,60.33108139038086
2018-08-01,,51.214195251464844,67.9000015258789,44.171173095703125,,39.71096420288086,31.579999923706055,41.419219970703125,24.517568588256836,39.64381408691406,19.765125274658203,49.75,15.539759635925293,39.55385208129883,38.897891998291016,25.170000076293945,54.87767791748047,86.36703491210938,12.926681518554688,27.829999923706055,27.3133544921875,73.23999786376953,10.391860961914062,10.432025909423828,64.48479461669922,9.678526878356934,35.4095573425293,38.525001525878906,16.75200080871582,117.71240234375,64.88999938964844,86.74054718017578,24.685937881469727,112.24793243408203,42.2103271484375,,123.51000213623047,,12.725763320922852,95.17738342285156,85.69981384277344,51.21630096435547,70.40353393554688,38.84990310668945,170.84408569335938,33.9172248840332,61.048667907714844,69.82618713378906,108.44879150390625,60.377174377441406
2018-09-01,,44.1054573059082,59.95000076293945,41.23820495605469,,35.587459564208984,31.239999771118164,40.44425582885742,24.75975799560547,35.66979217529297,18.446165084838867,47.29999923706055,13.713998794555664,35.535953521728516,37.57698440551758,30.889999389648438,53.92162322998047,83.34112548828125,12.84307861328125,32.0,28.77235221862793,72.38999938964844,9.886962890625,9.130377769470215,62.66679000854492,9.698420524597168,38.511844635009766,37.543331146240234,18.45400047302246,129.27598571777344,66.27999877929688,82.50272369384766,24.139686584472656,110.56534576416016,43.160770416259766,,134.5399932861328,,12.608016967773438,96.67282104492188,89.82443237304688,53.33246612548828,69.65738677978516,38.55014419555664,169.07745361328125,32.73075866699219,59.82353591918945,70.39277648925781,122.6401596069336,59.15196990966797
2018-10-01,,36.78217315673828,54.650001525878906,30.340442657470703,,30.236190795898438,31.260000228881836,40.093597412109375,23.04401397705078,33.22942352294922,15.732931137084961,37.22999954223633,12.812690734863281,30.230836868286133,32.86061477661133,18.209999084472656,51.12993621826172,66.73883056640625,12.008394241333008,32.38999938964844,26.04183006286621,65.16000366210938,5.923134803771973,8.217430114746094,55.20663070678711,9.658632278442383,30.74382972717285,30.50666618347168,16.43600082397461,103.50651550292969,57.08000183105469,75.25662231445312,24.71520233154297,102.8218765258789,40.323490142822266,,121.81999969482422,,10.591998100280762,97.69083404541016,89.3203125,55.33977127075195,63.95420837402344,33.7814826965332,154.71792602539062,30.593158721923828,54.04972457885742,66.73787689208984,120.06572723388672,53.36796569824219
2018-11-01,,37.60129928588867,44.470001220703125,31.974760055541992,,32.385719299316406,32.619998931884766,42.43723678588867,26.891061782836914,34.51029968261719,15.445314407348633,37.41999816894531,14.189510345458984,34.469058990478516,33.90599822998047,21.299999237060547,50.42327117919922,59.10350036621094,11.81153392791748,30.719999313354492,26.41240119934082,71.125,6.593821048736572,8.920068740844727,51.43436813354492,9.797891616821289,28.54958724975586,28.825000762939453,14.767999649047852,115.74951934814453,61.81999969482422,69.02355194091797,25.850244522094727,99.08525848388672,34.82945251464844,,134.85000610351562,,10.855661392211914,107.41783905029297,86.7096176147461,59.647560119628906,54.48614501953125,30.027990341186523,160.79879760742188,34.417293548583984,54.99484634399414,57.09679412841797,123.26466369628906,54.243255615234375
2018-12-01,,30.941099166870117,42.0099983215332,26.400774002075195,15.270000457763672,29.500118255615234,33.90999984741211,40.388954162597656,22.50079345703125,30.342771530151367,15.58481216430664,32.459999084472656,12.39472770690918,30.271373748779297,29.756887435913086,18.459999084472656,41.824703216552734,55.4566764831543,10.483328819274902,24.739999771118164,24.764698028564453,57.650001525878906,5.734739780426025,8.099204063415527,46.579830169677734,9.74815559387207,21.332958221435547,31.391666412353516,14.086000442504883,108.41224670410156,62.08000183105469,63.58403396606445,27.81192398071289,86.67630004882812,28.11017417907715,,113.18000030517578,,9.37369155883789,104.77404022216797,69.64312744140625,57.84748458862305,48.619529724121094,25.787988662719727,113.6258316040039,29.553932189941406,51.78878402709961,53.17823028564453,121.99842071533203,51.32795715332031
2019-01-01,,37.269752502441406,48.90999984741211,32.12796401977539,16.600000381469727,33.8498420715332,38.09000015258789,40.552467346191406,22.37188148498535,34.800384521484375,17.837343215942383,37.959999084472656,15.435840606689453,36.133331298828125,33.209075927734375,24.40999984741211,45.93248748779297,64.9620590209961,12.372077941894531,28.3799991607666,27.26494026184082,65.28500366210938,7.249434947967529,9.645008087158203,52.302650451660156,9.817785263061523,26.884376525878906,35.8033332824707,15.314000129699707,114.33893585205078,74.0199966430664,70.41846466064453,27.378496170043945,99.7187728881836,34.279685974121094,,123.19000244140625,,10.6287202835083,108.52244567871094,72.9504165649414,56.348487854003906,52.30698776245117,31.410858154296875,125.06379699707031,34.6988639831543,55.79970932006836,58.73824691772461,122.78765869140625,55.33066940307617
2019-02-01,,39.86360168457031,49.75,35.91990661621094,22.600000381469727,35.59278869628906,42.65999984741211,45.867401123046875,25.700719833374023,39.56665802001953,19.204259872436523,42.47999954223633,16.028406143188477,35.63045120239258,31.247974395751953,23.530000686645508,51.342498779296875,60.99005889892578,12.999011039733887,28.899999618530273,28.699975967407227,60.88999938964844,7.942728042602539,10.525476455688477,49.34935760498047,9.877466201782227,27.179264068603516,41.04499816894531,17.357999801635742,117.92815399169922,84.41000366210938,71.71947479248047,27.386516571044922,100.54627990722656,32.07194900512695,,142.1699981689453,,11.779251098632812,114.96395111083984,82.49281311035156,61.54196548461914,53.479942321777344,32.037532806396484,127.47955322265625,34.99342346191406,55.83242416381836,58.96669006347656,128.5701904296875,55.50661087036133
2019-03-01,,40.30241394042969,56.540000915527344,34.70264434814453,20.350000381469727,37.094757080078125,37.34000015258789,46.50830841064453,27.022132873535156,38.60729217529297,19.146495819091797,37.2400016784668,16.394271850585938,36.85718536376953,29.538087844848633,25.520000457763672,50.25652313232422,63.43536376953125,12.332804679870605,27.020000457763672,27.290128707885742,53.099998474121094,7.535795211791992,10.882736206054688,47.6303596496582,9.96699333190918,28.391599655151367,40.47999954223633,16.79400062561035,116.339599609375,87.19999694824219,70.83378601074219,28.827882766723633,94.58839416503906,33.11603927612305,,145.25,,11.770121574401855,118.12274932861328,74.39753723144531,63.392520904541016,56.87574768066406,30.488948822021484,128.2505645751953,37.055328369140625,58.327301025390625,65.15235137939453,122.87354278564453,58.15278625488281
2019-04-01,,41.01426696777344,61.970001220703125,36.91218185424805,26.030000686645508,37.427833557128906,38.36000061035156,44.20454406738281,31.03700828552246,47.48386001586914,24.156312942504883,39.84000015258789,18.997053146362305,40.95551300048828,32.29335403442383,27.6299991607666,51.89688491821289,67.79498291015625,12.636529922485352,30.899999618530273,26.259532928466797,51.560001373291016,8.319518089294434,11.618218421936035,48.442115783691406,10.066462516784668,27.14228630065918,41.4716682434082,18.68400001525879,120.43977355957031,87.02999877929688,70.16392517089844,25.65618324279785,88.22898864746094,32.71656799316406,,140.47000122070312,,11.28257942199707,106.54352569580078,68.11758422851562,59.993106842041016,60.086753845214844,27.385589599609375,133.941650390625,39.90463638305664,59.421104431152344,62.84691619873047,126.56854248046875,58.9046516418457
2019-05-01,,31.799219131469727,40.470001220703125,26.875415802001953,20.780000686645508,32.41629409790039,34.939998626708984,38.37559127807617,27.418092727661133,40.92404556274414,21.53020668029785,31.43000030517578,15.991299629211426,36.139610290527344,34.667747497558594,27.40999984741211,45.349571228027344,53.23319625854492,10.966046333312988,27.260000228881836,23.941904067993164,57.75,6.737000942230225,9.458734512329102,36.982177734375,10.026674270629883,21.50104522705078,33.356666564941406,14.496000289916992,103.49944305419922,75.12999725341797,60.75764083862305,27.332996368408203,79.73271942138672,31.33946418762207,,125.44999694824219,,8.899580955505371,106.1342544555664,57.445274353027344,60.37421417236328,48.82821273803711,21.740768432617188,109.07059478759766,34.1646614074707,54.83873748779297,65.89494323730469,123.44143676757812,54.6992301940918
2019-06-01,,37.630550384521484,53.40999984741211,34.72813034057617,14.640000343322754,37.024147033691406,41.130001068115234,41.712982177734375,23.3894100189209,46.52755355834961,23.0460147857666,36.560001373291016,17.30251121520996,41.94960021972656,35.91572189331055,30.3700008392334,49.01175308227539,64.7342758178711,12.044597625732422,30.700000762939453,27.586318969726562,52.439998626708984,7.211756229400635,10.847216606140137,44.9350700378418,10.086358070373535,23.892799377441406,33.959999084472656,15.366000175476074,117.73587799072266,89.80999755859375,70.33751678466797,31.906997680664062,85.60450744628906,31.99134635925293,17.072500228881836,141.89999389648438,,10.64100456237793,101.41983795166016,64.2251205444336,64.33769989013672,50.89020919799805,26.313064575195312,116.5261459350586,37.57547378540039,53.664146423339844,70.9404525756836,149.17593383789062,53.57316207885742
2019-07-01,,43.77391052246094,56.630001068115234,39.358551025390625,13.100000381469727,36.387699127197266,45.220001220703125,44.04827117919922,26.58473014831543,54.121910095214844,25.414260864257812,39.70000076293945,19.2156982421875,46.115596771240234,36.88816833496094,30.450000762939453,40.37053298950195,64.4620590209961,11.577315330505371,30.309999465942383,25.527515411376953,52.09000015258789,8.402411460876465,12.510087013244629,45.345191955566406,10.136092185974121,20.356313705444336,37.75666809082031,16.062000274658203,114.62008666992188,89.5199966430664,77.12012481689453,30.289663314819336,95.86845397949219,32.4610595703125,22.267499923706055,134.5399932861328,,10.182772636413574,99.73544311523438,66.55109405517578,63.677825927734375,48.61942672729492,27.454458236694336,121.025634765625,36.81787109375,60.3746452331543,70.76844024658203,155.1423797607422,60.30233383178711
