,NVDA,INTC,F,TSLA,AAPL,PFE,PLTR,T,AMZN,NFLX,AMD,SMCI,MU,BAC,WBD,GOOGL,CMCSA,KVUE,MSFT,HOOD,ORCL,HBAN,VZ,AVGO,MRVL,HPE,CCL,WMT,CSCO,PCG,GOOG,NKE,CMG,UBER,NCLH,NOW,TTD,XOM,PYPL,FCX,KO,META,KEY,SLB,HPQ,CVNA,WFC,RF,KHC,BSX
2018-07-01,6.0538010597229,40.888328552246094,6.669045448303223,19.875999450683594,44.79668426513672,25.729677200317383,,13.792484283447266,88.87200164794922,33.744998931884766,18.329999923706055,2.2100000381469727,51.477500915527344,25.512287139892578,26.579999923706055,60.821678161621094,26.79602813720703,,97.82698822021484,,42.3903923034668,10.751155853271484,33.128360748291016,17.980384826660156,20.367244720458984,12.074286460876465,54.435546875,26.323558807373047,33.588863372802734,42.34125518798828,60.33108139038086,68.7460708618164,8.673199653625488,,50.029998779296875,35.19200134277344,8.432000160217285,56.552093505859375,81.43473815917969,14.944849967956543,36.50131607055664,171.07766723632812,14.385882377624512,53.8421516418457,17.425395965576172,8.600000381469727,45.719276428222656,13.504186630249023,40.511253356933594,33.61000061035156
2018-08-01,6.943195819854736,41.419219970703125,6.297066688537598,20.110666275024414,53.77491760253906,26.982027053833008,,13.779541015625,100.635498046875,36.768001556396484,25.170000076293945,2.0510001182556152,51.214195251464844,25.553598403930664,27.829999923706055,61.048667907714844,27.70220184326172,,103.98941802978516,,43.1905517578125,11.287322998046875,34.87972640991211,17.75823402404785,19.765125274658203,12.926681518554688,56.963417053222656,28.443710327148438,37.941368103027344,45.38809585571289,60.377174377441406,73.65547943115234,9.503600120544434,,53.61000061035156,39.27199935913086,14.187999725341797,56.196102142333984,91.53724670410156,12.725763320922852,34.888771057128906,174.20025634765625,14.640536308288574,50.36537170410156,18.61074447631836,12.947999954223633,47.01043701171875,14.120979309082031,39.59877014160156,35.560001373291016
2018-09-01,6.951605319976807,40.44425582885742,6.144289016723633,17.65133285522461,53.32842254638672,28.6391658782959,,14.487070083618164,100.1500015258789,37.41299819946289,30.889999389648438,2.061000108718872,44.1054573059082,24.45677375793457,32.0,59.82353591918945,26.51892852783203,,105.8779067993164,,45.83995056152344,10.48213005065918,34.25102233886719,20.154253005981445,18.446165084838867,12.84307861328125,59.07556915283203,27.86510467529297,38.64030456542969,45.221012115478516,59.15196990966797,75.91356658935547,9.090399742126465,,57.43000030517578,39.125999450683594,15.090999603271484,59.59575271606445,87.0857925415039,12.608016967773438,36.464447021484375,163.02835083007812,13.82060718536377,48.96678161621094,19.566679000854492,11.817999839782715,42.25151824951172,13.409719467163086,37.45130920410156,38.5
2018-10-01,5.215311050415039,40.093597412109375,6.45751953125,22.488000869750977,51.703102111816406,27.982812881469727,,13.497919082641602,79.90049743652344,30.17799949645996,18.209999084472656,1.309999942779541,36.78217315673828,22.82964515686035,32.38999938964844,54.04972457885742,28.71706199645996,,98.87926483154297,,43.59652328491211,10.067618370056152,37.03050994873047,18.255884170532227,15.732931137084961,12.008394241333008,51.914615631103516,29.755220413208008,36.5826530456543,46.007301330566406,53.36796569824219,67.23979187011719,9.206600189208984,,44.06999969482422,36.20800018310547,12.354999542236328,55.85261917114258,83.4671401977539,10.591998100280762,37.798606872558594,150.46864318847656,12.618515014648438,41.24238967895508,18.32904815673828,7.75,42.79011535644531,12.401250839233398,37.35617446899414,36.13999938964844
2018-11-01,4.046820640563965,42.43723678588867,6.362856388092041,23.365333557128906,42.33462142944336,30.274694442749023,,13.744292259216309,84.50849914550781,28.613000869750977,21.299999237060547,1.4900000095367432,37.60129928588867,23.57679557800293,30.719999313354492,54.99484634399414,29.37212371826172,,103.09980010986328,,43.52511978149414,10.250287055969238,39.112632751464844,19.392940521240234,15.445314407348633,11.81153392791748,56.32203674316406,28.974836349487305,38.27785110473633,25.92763328552246,54.243255615234375,67.5112533569336,9.464200019836426,,51.31999969482422,37.05400085449219,14.244999885559082,56.29136276245117,85.07322692871094,10.855661392211914,40.102630615234375,139.385986328125,12.865501403808594,36.2508544921875,17.46346664428711,8.657999992370605,43.98719024658203,12.021246910095215,35.1572380065918,37.66999816894531
2018-12-01,3.3057000637054443,40.388954162597656,5.172778129577637,22.18666648864746,37.394248962402344,28.585113525390625,,12.556405067443848,75.09850311279297,26.766000747680664,18.459999084472656,1.3799999952316284,30.941099166870117,20.569679260253906,24.739999771118164,51.78878402709961,25.78014373779297,,94.4345474243164,,40.30268478393555,8.471921920776367,36.46619415283203,20.989852905273438,15.58481216430664,10.483328819274902,46.05533981323242,27.79042625427246,34.6475715637207,23.342729568481445,51.32795715332031,66.63048553466797,8.6358003616333,,42.38999938964844,35.61000061035156,11.605999946594238,48.28312683105469,83.36798858642578,9.37369155883789,37.675785064697266,129.94882202148438,10.368163108825684,29.317283630371094,15.645905494689941,6.541999816894531,37.34210968017578,9.866369247436523,29.60030746459961,35.34000015258789
2019-01-01,3.5595085620880127,40.552467346191406,6.054050445556641,20.468000411987305,39.45668029785156,28.042064666748047,,13.51693058013916,85.9365005493164,33.95000076293945,24.40999984741211,1.5099999904632568,37.269752502441406,23.766990661621094,28.3799991607666,55.79970932006836,27.688100814819336,,97.09359741210938,,45.01482009887695,9.410086631774902,36.08652114868164,22.14302635192871,17.837343215942383,12.372077941894531,53.79039764404297,28.589975357055664,38.10685729980469,12.777073860168457,55.33066940307617,73.5865249633789,10.59220027923584,,51.43000030517578,44.00400161743164,14.267999649047852,51.88719177246094,87.9979019165039,10.6287202835083,38.29642868041992,165.23898315429688,11.553696632385254,35.923431396484375,16.846498489379883,7.429999828338623,39.99477005004883,11.186308860778809,33.052757263183594,38.150001525878906
2019-02-01,3.8236916065216064,45.867401123046875,6.033411502838135,21.325332641601562,41.223426818847656,28.6365909576416,,13.99357795715332,81.99150085449219,35.810001373291016,23.530000686645508,1.9119999408721924,39.86360168457031,24.400169372558594,28.899999618530273,55.83242416381836,29.278064727783203,,104.60453033447266,,46.71754837036133,10.241642951965332,37.305580139160156,22.729928970336914,19.204259872436523,12.999011039733887,54.42091369628906,29.532730102539062,41.71688461303711,16.737966537475586,55.50661087036133,77.04656982421875,12.15060043334961,,55.529998779296875,47.88800048828125,19.753999710083008,56.57982635498047,97.22795867919922,11.779251098632812,36.07646560668945,160.0445556640625,12.388482093811035,36.21601104736328,15.087674140930176,8.972000122070312,40.796146392822266,12.093305587768555,22.826068878173828,40.119998931884766
2019-03-01,4.450811386108398,46.50830841064453,6.0402913093566895,18.657333374023438,45.22316360473633,28.05527687072754,,14.101496696472168,89.0374984741211,35.65599822998047,25.520000457763672,2.11299991607666,40.30241394042969,23.149953842163086,27.020000457763672,58.327301025390625,30.269901275634766,,110.12283325195312,,48.133506774902344,9.102649688720703,38.75400924682617,25.044208526611328,19.146495819091797,12.332804679870605,47.78790283203125,29.253721237182617,43.50578689575195,17.494766235351562,58.15278625488281,75.87523651123047,14.206199645996094,,54.959999084472656,49.29800033569336,19.795000076293945,57.847023010253906,102.94841003417969,11.770121574401855,37.61139678955078,165.23898315429688,11.156939506530762,35.813236236572266,14.98417854309082,11.612000465393066,39.51232147216797,10.52762508392334,22.731401443481445,38.380001068115234
2019-04-01,4.486504554748535,44.20454406738281,7.304518699645996,15.912667274475098,47.775360107421875,26.826581954956055,,14.218032836914062,96.32599639892578,37.05400085449219,27.6299991607666,2.242000102996826,41.01426696777344,25.65877914428711,30.899999618530273,59.421104431152344,33.13028335571289,,121.9437255859375,,49.807373046875,9.992813110351562,37.86870193481445,26.51749610900879,24.156312942504883,12.636529922485352,51.688568115234375,30.84642791748047,45.370643615722656,22.133825302124023,58.9046516418457,79.13695526123047,13.7608003616333,,56.38999938964844,54.301998138427734,22.148000717163086,57.47474670410156,111.80174255371094,11.28257942199707,39.377193450927734,191.71641540527344,12.432014465332031,35.08167266845703,15.3851900100708,14.312000274658203,39.58591842651367,11.554346084594727,23.142168045043945,37.119998931884766
2019-05-01,3.361522912979126,38.37559127807617,6.654452323913574,12.343999862670898,41.841060638427734,27.670978546142578,,14.043526649475098,88.75350189208984,34.327999114990234,27.40999984741211,1.899999976158142,31.799219131469727,22.319271087646484,27.260000228881836,54.83873748779297,31.204734802246094,,115.90985870361328,,45.54949188232422,9.081113815307617,35.988182067871094,20.957481384277344,21.53020668029785,10.966046333312988,48.693321228027344,30.588136672973633,42.191864013671875,16.806766510009766,54.6992301940918,69.6984634399414,13.199399948120117,40.40999984741211,54.709999084472656,52.38600158691406,19.881000518798828,51.24702453613281,108.80767059326172,8.899580955505371,39.433372497558594,175.9250946044922,11.43040657043457,28.51414680480957,14.405786514282227,11.576000213623047,36.633052825927734,10.289545059204102,19.522607803344727,38.40999984741211
2019-06-01,4.075467586517334,41.712982177734375,7.150739669799805,14.897333145141602,47.3021125793457,28.870590209960938,,15.3890962600708,94.68150329589844,36.731998443603516,30.3700008392334,1.934999942779541,37.630550384521484,24.464527130126953,30.700000762939453,53.664146423339844,32.1789436340332,,125.54400634765625,,51.28367233276367,10.02553653717041,37.828983306884766,24.203866958618164,23.0460147857666,12.044597625732422,44.279632568359375,33.31707000732422,44.38132095336914,22.526962280273438,53.57316207885742,75.85153198242188,14.657600402832031,46.380001068115234,53.630001068115234,54.91400146484375,22.777999877929688,55.49045944213867,113.47723388671875,10.64100456237793,41.18914031982422,191.31991577148438,12.704426765441895,33.13187789916992,16.163076400756836,12.517999649047852,39.068660736083984,11.226302146911621,21.916162490844727,42.97999954223633
2019-07-01,4.186890602111816,44.04827117919922,6.7608642578125,16.107332229614258,50.915733337402344,25.884883880615234,,15.951570510864258,93.33899688720703,32.29899978637695,30.450000762939453,1.8309999704360962,43.77391052246094,25.881786346435547,30.309999465942383,60.3746452331543,33.01865005493164,,127.7088851928711,,50.88569641113281,10.337475776672363,36.982601165771484,24.382965087890625,25.414260864257812,11.577315330505371,44.92646408081055,33.28390121459961,45.208160400390625,17.81910514831543,60.30233383178711,77.73088073730469,15.910599708557129,42.13999938964844,49.439998626708984,55.47800064086914,26.33099937438965,53.84666442871094,109.45209503173828,10.182772636413574,42.57236099243164,192.5392303466797,13.148187637329102,33.32362747192383,16.357439041137695,12.711999893188477,39.968589782714844,11.97021484375,22.601037979125977,42.459999084472656
2019-08-01,4.160977840423584,41.59107208251953,6.505473613739014,15.040666580200195,50.077598571777344,23.91393280029297,,16.51842498779297,88.81449890136719,29.375,31.450000762939453,1.8899999856948853,44.144447326660156,23.207557678222656,27.600000381469727,59.00331115722656,33.85233688354492,,129.62924194335938,,47.053466796875,9.612039566040039,38.91636276245117,23.76495361328125,23.19801139831543,11.13420295715332,42.391380310058594,34.62347412109375,38.198429107666016,10.270804405212402,58.88582229614258,76.54570007324219,16.768400192260742,32.56999969482422,50.75,52.36800003051758,24.57699966430664,50.20533752441406,108.11368560791016,8.461092948913574,44.521793365478516,184.0537109375,12.020485877990723,27.03740882873535,14.219468116760254,16.23200035095215,38.88230895996094,10.985846519470215,18.303466796875,42.72999954223633
2019-09-01,4.323928356170654,45.20539855957031,6.498378276824951,16.058000564575195,53.73133087158203,24.1695499420166,,17.727087020874023,86.79550170898438,26.761999130249023,28.989999771118164,1.9199999570846558,41.78462600708008,24.770130157470703,26.6299991607666,60.520347595214844,34.47951889038086,,130.72935485839844,,49.73784255981445,10.458338737487793,40.3884391784668,23.426136016845703,24.165803909301758,12.314921379089355,42.035552978515625,35.96283721923828,40.32011795043945,9.828518867492676,60.417320251464844,85.0789566040039,16.80940055847168,30.469999313354492,51.77000045776367,50.77000045776367,18.7549991607666,51.76692581176758,102.70055389404297,8.810955047607422,44.358428955078125,176.52978515625,12.918399810791016,28.934181213378906,14.834105491638184,13.199999809265137,42.11347579956055,12.0165433883667,20.03554916381836,40.689998626708984
