,NVDA,AAPL,GOOGL,GOOG,MSFT,AMZN,AVGO,TSLA,META,LLY,MU,BRK-B,JPM,WMT,AMD,V,XOM,JNJ,MA,INTC,ABBV,CSCO,PLTR,BAC,ORCL,COST,CVX,LRCX,KO,AMAT,CAT,MRK,GE,UNH,MS,PG,HD,NFLX,GS,PM,PANW,DELL,RTX,GEV,WFC,TXN,KLAC,ANET,AMGN,SNDK
2022-05-01,18.616371154785156,145.78521728515625,112.7621078491211,113.0423355102539,262.5490417480469,120.20950317382812,53.90346908569336,252.75332641601562,191.95436096191406,302.7755126953125,72.2802963256836,315.9800109863281,118.96260070800781,40.74333953857422,101.86000061035156,205.36663818359375,83.39932250976562,159.96604919433594,348.8191223144531,41.840023040771484,126.50345611572266,39.94113540649414,8.680000305175781,33.403564453125,67.98152923583984,443.9305114746094,147.3066864013672,49.75440979003906,55.93034744262695,113.19829559326172,201.08279418945312,80.9114990234375,47.74460983276367,459.49603271484375,75.12358856201172,132.30467224121094,271.420654296875,19.743999481201172,296.02886962890625,87.47604370117188,83.79666900634766,45.68385314941406,86.92994689941406,,41.08403396606445,156.4386749267578,35.05282211303711,25.56999969482422,225.2877960205078,
2022-06-01,15.117033958435059,133.91397094726562,108.00528717041016,108.4166259765625,248.024658203125,106.20999908447266,45.51384735107422,224.47332763671875,159.8462677001953,313.1984558105469,54.112335205078125,273.0199890136719,101.31120300292969,38.51026153564453,76.47000122070312,190.57659912109375,74.39913940429688,158.16619873046875,307.50115966796875,35.2371826171875,131.47364807128906,37.8044319152832,9.069999694824219,28.114030838012695,66.04378509521484,456.3661193847656,122.10614776611328,40.90961456298828,55.91667938232422,87.80613708496094,166.53028869628906,80.81137084960938,38.875064849853516,476.7756652832031,66.33271789550781,128.6453857421875,247.44076538085938,17.48699951171875,269.0116882324219,82.31307220458984,82.32333374023438,42.27173614501953,87.83470916748047,,35.15974426269531,135.9855194091797,30.655487060546875,23.434999465942383,213.4942626953125,
2022-07-01,18.112714767456055,159.1746826171875,115.2976303100586,115.62062072753906,271.11492919921875,134.9499969482422,50.16726303100586,297.1499938964844,157.71502685546875,318.47265625,60.67190170288086,300.6000061035156,104.70333099365234,41.826622009277344,94.47000122070312,205.30853271484375,84.2072525024414,155.50201416015625,345.370849609375,34.20106887817383,124.3422622680664,40.58689498901367,10.350000381469727,30.534385681152344,73.90638732910156,516.3107299804688,138.1305694580078,48.04802322387695,57.03662109375,102.28286743164062,185.97323608398438,79.18931579589844,45.12731170654297,503.42572021484375,74.21601867675781,125.08619689941406,271.5019226074219,22.489999771118164,301.9521179199219,80.98758697509766,83.18333435058594,41.53928756713867,85.18439483642578,,39.37855529785156,159.3665771484375,36.84846496582031,29.157499313354492,217.1534423828125,
2022-08-01,15.052210807800293,154.20713806152344,107.26881408691406,108.1960678100586,253.04153442382812,126.7699966430664,46.75988006591797,275.6099853515625,161.5116729736328,291.93084716796875,55.444271087646484,280.79998779296875,103.22393035888672,42.1678466796875,84.87000274658203,192.6789093017578,83.84999084472656,144.72421264648438,316.6509704589844,30.36957359313965,116.50103759765625,40.00542068481445,7.71999979019165,30.353761672973633,70.40286254882812,497.9969787597656,134.5176239013672,42.03853225708008,54.8500862121582,91.02051544189453,173.27169799804688,75.6615219116211,44.840335845947266,482.0667724609375,75.02596282958984,124.21272277832031,261.90435791015625,22.356000900268555,303.5747985839844,79.60375213623047,92.80166625976562,35.298255920410156,82.5,,39.50495529174805,147.1795654296875,33.17786407470703,29.969999313354492,212.49021911621094,
2022-09-01,12.108987808227539,135.5516357421875,94.8093032836914,95.30968475341797,225.3924560546875,113.0,41.946556091308594,265.25,134.49888610839844,313.36798095703125,49.13777160644531,267.0199890136719,94.84654998779297,41.26118850708008,63.36000061035156,172.2581024169922,76.5869140625,146.53614807128906,277.5735168457031,24.518293380737305,116.28443908691406,35.783016204833984,8.130000114440918,27.453834533691406,57.983856201171875,450.4674377441406,122.27098083496094,35.2713508605957,50.155635833740234,79.27404022216797,153.9192352294922,76.9505615234375,37.84736251831055,470.2730712890625,69.55880737304688,113.6860580444336,250.5717315673828,23.54400062561035,267.419921875,70.18858337402344,81.8949966430664,31.500160217285156,75.24735260009766,,36.35071563720703,137.8878631591797,29.17681884765625,28.22249984741211,199.31455993652344,
2022-10-01,13.463632583618164,150.40150451660156,93.6793212890625,93.83271789550781,224.64730834960938,102.44000244140625,44.41322326660156,227.5399932861328,92.34903717041016,350.9121398925781,53.17290115356445,295.0899963378906,115.27372741699219,45.27913284301758,60.060001373291016,200.87242126464844,97.20075225830078,156.05352783203125,320.88714599609375,27.049091339111328,128.1370086669922,41.018062591552734,8.789999961853027,32.762794494628906,74.50582122802734,479.2115783691406,153.95571899414062,39.008567810058594,53.58469772338867,85.42789459228516,204.41424560546875,90.4249496459961,47.56748962402344,516.933349609375,73.0423355102539,122.1287841796875,268.9055480957031,29.187999725341797,314.3792419433594,77.66317749023438,85.79499816894531,35.7418327331543,87.16043090820312,,41.565616607666016,144.24038696289062,30.50921630859375,30.21500015258789,239.0625762939453,
2022-11-01,16.885480880737305,145.43411254882812,100.10236358642578,100.56334686279297,247.61141967773438,96.54000091552734,52.05695724487305,194.6999969482422,117.0719223022461,360.62774658203125,56.66206359863281,318.6000061035156,126.5373764038086,48.48904800415039,77.62999725341797,210.8840789794922,98.4518814086914,160.6990509033203,348.48004150390625,28.995832443237305,141.07322692871094,44.89143753051758,7.5,34.408203125,79.2393569946289,515.2838745117188,157.21351623535156,45.523162841796875,57.35499572753906,106.30529022216797,223.25405883789062,98.39520263671875,52.555938720703125,510.0522766113281,82.73155212402344,135.26939392089844,295.9841613769531,30.55299949645996,354.6883850097656,84.27534484863281,84.94999694824219,41.68950271606445,91.27747344970703,,43.61616897583008,162.0470428466797,38.03396224975586,34.82500076293945,254.9993896484375,
2022-12-01,14.5816011428833,127.6514892578125,87.45452117919922,87.95453643798828,232.74349975585938,84.0,53.26292037963867,123.18000030517578,119.29241943359375,355.5353698730469,49.23528289794922,308.8999938964844,122.8011474609375,45.27738952636719,64.7699966430664,201.90447998046875,97.53227233886719,159.48023986816406,340.002685546875,25.485862731933594,141.4495849609375,43.01343536376953,6.420000076293945,30.284339904785156,78.00824737548828,436.2115173339844,153.93734741210938,40.6552619934082,57.35499572753906,94.45264434814453,226.22874450683594,99.79367065429688,51.272727966308594,495.2042236328125,75.57575988769531,137.44589233398438,288.55694580078125,29.488000869750977,315.4029846191406,86.66810607910156,69.7699966430664,37.435848236083984,93.3116226196289,,37.55812072753906,148.36204528808594,36.47449493408203,30.337499618530273,233.8444366455078,
2023-01-01,19.49368667602539,141.75965881347656,97.97126007080078,98.9971694946289,240.49771118164062,103.12999725341797,55.72826385498047,173.22000122070312,147.67320251464844,334.4562683105469,59.40152359008789,311.5199890136719,129.11410522460938,45.94160079956055,75.1500015258789,223.72178649902344,102.58131408691406,147.5361785888672,362.95257568359375,27.250490188598633,130.54791259765625,44.29450607299805,7.78000020980835,32.44227600097656,84.7380142211914,488.4231872558594,149.24609375,48.37425231933594,55.29018020629883,108.13848114013672,239.38661193847656,96.60962677001953,63.08576202392578,466.25860595703125,87.21617126464844,129.9310302734375,296.1485900878906,35.38600158691406,336.0055847167969,89.26276397705078,79.31999969482422,38.1146354675293,92.3222885131836,,42.633785247802734,160.26268005371094,37.96916198730469,31.5049991607666,224.7271728515625,
2023-02-01,23.164527893066406,145.04611206054688,89.26844024658203,89.51082611083984,242.66647338867188,94.2300033569336,56.61227798461914,205.7100067138672,173.41712951660156,303.432373046875,56.958473205566406,305.17999267578125,132.2414093017578,45.38596725463867,78.58000183105469,214.15985107421875,97.93526458740234,139.3588409423828,347.95849609375,24.33236312866211,135.9818572998047,44.06698226928711,7.840000152587891,31.363311767578125,83.72262573242188,463.4667053222656,139.101318359375,47.01133728027344,53.65816116333008,112.92222595214844,227.2982177734375,95.5572738647461,66.40151977539062,444.54248046875,86.472412109375,125.53246307373047,270.9069519042969,32.2130012512207,322.9992370605469,83.31990051269531,94.18499755859375,38.133399963378906,91.19400024414062,,42.814208984375,155.0535125732422,36.82038879394531,34.67499923706055,208.08001708984375,
2023-03-01,27.720123291015625,162.25563049316406,102.81829071044922,103.09107208251953,280.49365234375,103.29000091552734,61.55318832397461,207.4600067138672,210.0950469970703,334.82666015625,59.44092559814453,308.7699890136719,120.21189880371094,47.277767181396484,98.01000213623047,219.53477478027344,97.7125015258789,140.94100952148438,355.9109191894531,31.886816024780273,140.8149871826172,47.5799674987793,8.449999809265137,26.32094383239746,89.01036834716797,475.6138916015625,141.16917419433594,51.46417236328125,56.359371185302734,119.41658782958984,217.13597106933594,96.35748291015625,75.00732421875,442.9856262207031,78.67646789550781,135.68931579589844,271.5620422363281,34.54800033569336,302.61004638671875,84.39710235595703,99.87000274658203,37.729923248291016,91.04524993896484,,34.218414306640625,168.22109985351562,38.74109649658203,41.96500015258789,217.1429901123047,
2023-04-01,27.692184448242188,166.95896911621094,106.39655303955078,107.2741928100586,298.94036865234375,105.44999694824219,60.11016845703125,164.30999755859375,238.2279815673828,385.95440673828125,63.52914810180664,328.54998779296875,128.5282440185547,48.40640640258789,89.37000274658203,226.6137237548828,105.4468002319336,148.8519287109375,372.7719421386719,30.315410614013672,134.75389099121094,43.32518768310547,7.75,26.94675636291504,91.1146011352539,481.6922302246094,145.85865783691406,50.8778076171875,58.28557205200195,109.88892364501953,208.7363739013672,104.58123016357422,77.65141296386719,461.26409912109375,81.3192138671875,143.60040283203125,276.5494079589844,32.99300003051758,317.7169494628906,86.75761413574219,91.2300033569336,41.16089630126953,92.87674713134766,,36.3879508972168,151.20999145507812,37.51530456542969,40.040000915527344,215.3376007080078,
2023-05-01,37.75653076171875,174.64886474609375,121.7900619506836,122.29180145263672,320.19671630859375,120.58000183105469,77.5205078125,203.92999267578125,262.4155578613281,419.802734375,67.319580078125,321.0799865722656,126.17597961425781,47.27069091796875,118.20999908447266,215.6407928466797,91.83749389648438,142.05938720703125,358.0485534667969,30.81196403503418,123.01911163330078,45.54416275024414,14.710000038146973,25.575496673583984,101.90752410888672,490.69671630859375,131.59547424316406,59.86937713623047,54.20602798461914,129.92959594726562,196.28662109375,99.99839782714844,79.65997314453125,456.7178955078125,73.89862060546875,130.85470581054688,262.70135498046875,39.52299880981445,301.9219665527344,78.11395263671875,106.69499969482422,42.41019821166992,86.18887329101562,,36.727962493896484,158.46180725097656,43.13909912109375,41.584999084472656,200.06065368652344,
2023-06-01,42.21975326538086,191.1234588623047,118.64791870117188,119.91275787353516,332.0435791015625,130.36000061035156,83.66981506347656,261.7699890136719,284.4818115234375,458.4341125488281,62.2952880859375,341.0,135.22238159179688,50.58900451660156,113.91000366210938,231.68968200683594,96.39431762695312,151.6424102783203,385.7884216308594,32.77201461791992,120.13892364501953,47.44221496582031,15.329999923706055,26.614465713500977,114.5569839477539,516.4229736328125,137.47543334960938,62.581024169921875,55.13153839111328,140.8854217529297,234.7330322265625,105.20702362060547,86.18781280517578,452.3807067871094,77.1886215209961,139.339599609375,287.9010009765625,44.04899978637695,300.654296875,85.84978485107422,127.75499725341797,51.212135314941406,91.63297271728516,,39.375770568847656,164.05738830566406,47.23204803466797,40.51499938964844,201.30284118652344,
